iter	Accuracy	MultiClass
0	0.4133333333	2.205957095
1	0.4380952381	2.135970052
2	0.5066666667	2.073028078
3	0.5371428571	2.020235584
4	0.5580952381	1.975696251
5	0.580952381	1.931122728
6	0.5885714286	1.894409459
7	0.6057142857	1.84996395
8	0.6342857143	1.802126788
9	0.6419047619	1.764013435
10	0.6419047619	1.73224629
11	0.6666666667	1.699911387
12	0.6723809524	1.668923999
13	0.68	1.642544163
14	0.6780952381	1.622414372
15	0.6780952381	1.593673797
16	0.68	1.576443114
17	0.6876190476	1.551089766
18	0.6876190476	1.52700143
19	0.7028571429	1.502685245
20	0.6971428571	1.481361845
21	0.6933333333	1.462191415
22	0.6952380952	1.440193527
23	0.7047619048	1.421450067
24	0.7142857143	1.403203247
25	0.7161904762	1.383317372
26	0.7333333333	1.365738378
27	0.7371428571	1.343115964
28	0.7333333333	1.320971041
29	0.7295238095	1.315752646
30	0.7238095238	1.304178657
31	0.7371428571	1.287429009
32	0.739047619	1.272298095
33	0.7466666667	1.257128927
34	0.7485714286	1.256485743
35	0.7485714286	1.246478282
36	0.7485714286	1.240407589
37	0.7447619048	1.231115358
38	0.7447619048	1.224065496
39	0.7619047619	1.20898368
40	0.76	1.205566031
41	0.7619047619	1.192817192
42	0.7619047619	1.191740398
43	0.7638095238	1.176007268
44	0.7676190476	1.16882879
45	0.7561904762	1.156251372
46	0.7619047619	1.152877633
47	0.7638095238	1.148758279
48	0.76	1.136373226
49	0.7619047619	1.121984657
50	0.7676190476	1.110318356
51	0.7752380952	1.099551491
52	0.7752380952	1.089070187
53	0.7752380952	1.088099397
54	0.7733333333	1.081107642
55	0.7695238095	1.07576679
56	0.7752380952	1.072586004
57	0.7771428571	1.063519934
58	0.7733333333	1.05314732
59	0.779047619	1.041648691
60	0.7771428571	1.033086964
61	0.7771428571	1.029332629
62	0.779047619	1.019332291
63	0.7828571429	1.01010622
64	0.7866666667	1.000227416
65	0.7847619048	0.9896078112
66	0.7942857143	0.9792003413
67	0.7980952381	0.9700542588
68	0.8019047619	0.9622875453
69	0.8038095238	0.9542532317
70	0.8057142857	0.9461299089
71	0.8152380952	0.939088742
72	0.8171428571	0.9338205867
73	0.8152380952	0.9247018702
74	0.820952381	0.9176378418
75	0.8228571429	0.9086316299
76	0.8285714286	0.9022137508
77	0.8323809524	0.8921401625
78	0.8342857143	0.883662064
79	0.8323809524	0.8743554906
80	0.8342857143	0.8664806056
81	0.8380952381	0.860409518
82	0.8380952381	0.8529727636
83	0.8476190476	0.8470927877
84	0.8438095238	0.8422739203
85	0.8495238095	0.8394658928
86	0.8552380952	0.8318597856
87	0.8552380952	0.8265768927
88	0.8552380952	0.8192540816
89	0.859047619	0.8120766133
90	0.8647619048	0.8066586732
91	0.8666666667	0.7989946734
92	0.8647619048	0.7954851632
93	0.8685714286	0.788965521
94	0.8723809524	0.7823526202
95	0.8704761905	0.7759732569
96	0.8742857143	0.7695499785
97	0.8742857143	0.7642715774
98	0.8742857143	0.7602808663
99	0.8819047619	0.7547354079
100	0.8819047619	0.7502846844
101	0.8857142857	0.7450128419
102	0.8857142857	0.7433566236
103	0.8857142857	0.7373450462
104	0.8876190476	0.7319628212
105	0.8876190476	0.7280575936
106	0.8914285714	0.7238295849
107	0.8914285714	0.7192464747
108	0.8914285714	0.7156022435
109	0.8933333333	0.7112169758
110	0.8952380952	0.7065733174
111	0.8971428571	0.7028798998
112	0.8971428571	0.6990287203
113	0.8971428571	0.69483525
114	0.899047619	0.6910413813
115	0.9028571429	0.6872033408
116	0.9028571429	0.6817419576
117	0.900952381	0.679264548
118	0.900952381	0.6741697257
119	0.9028571429	0.6682743643
120	0.9047619048	0.6657264667
121	0.9066666667	0.6612052606
122	0.9066666667	0.6583775087
123	0.9047619048	0.6559066455
124	0.9066666667	0.6498708355
125	0.9142857143	0.6460940797
126	0.9104761905	0.6421971477
127	0.9123809524	0.6402004886
128	0.9123809524	0.635879837
129	0.9180952381	0.630137496
130	0.9180952381	0.6270205768
131	0.9219047619	0.6217049774
132	0.9238095238	0.6169685567
133	0.9257142857	0.6127557292
134	0.9295238095	0.6081617649
135	0.9295238095	0.6036149738
136	0.9295238095	0.5987867533
137	0.9257142857	0.5957600845
138	0.9276190476	0.5923146605
139	0.9257142857	0.5874838473
140	0.9295238095	0.5832831088
141	0.9295238095	0.5807928532
142	0.9295238095	0.5773015415
143	0.9295238095	0.5757760939
144	0.9333333333	0.5730123591
145	0.9314285714	0.5699130642
146	0.9314285714	0.5679461106
147	0.9333333333	0.5635910965
148	0.9333333333	0.5612205722
149	0.9333333333	0.5576428841
150	0.9352380952	0.5542988339
151	0.9371428571	0.5520156477
152	0.9371428571	0.5499072853
