iter	Passed	Remaining
0	65	32669
1	79	19706
2	90	14991
3	101	12534
4	112	11176
5	124	10268
6	135	9534
7	146	9025
8	158	8647
9	169	8286
10	182	8093
11	194	7893
12	206	7728
13	218	7599
14	222	7201
15	230	6959
16	235	6681
17	248	6650
18	262	6652
19	276	6643
20	290	6627
21	304	6613
22	316	6558
23	330	6555
24	344	6540
25	360	6572
26	371	6516
27	382	6454
28	395	6418
29	400	6273
30	412	6241
31	423	6189
32	433	6129
33	442	6066
34	445	5915
35	449	5790
36	456	5718
37	469	5707
38	475	5624
39	488	5616
40	491	5499
41	502	5481
42	506	5380
43	515	5343
44	527	5331
45	537	5303
46	541	5218
47	553	5211
48	563	5186
49	573	5162
50	585	5152
51	594	5125
52	606	5113
53	608	5028
54	619	5015
55	622	4935
56	626	4869
57	637	4861
58	648	4847
59	658	4828
60	670	4822
61	672	4753
62	683	4740
63	694	4729
64	704	4717
65	715	4705
66	726	4694
67	737	4683
68	749	4682
69	759	4668
70	770	4652
71	781	4645
72	794	4645
73	807	4647
74	818	4640
75	828	4620
76	839	4611
77	850	4598
78	860	4585
79	870	4570
80	880	4553
81	890	4541
82	900	4526
83	910	4508
84	920	4496
85	931	4482
86	940	4465
87	951	4454
88	961	4441
89	972	4428
90	985	4430
91	996	4417
92	1006	4403
93	1017	4395
94	1028	4385
95	1039	4372
96	1050	4364
97	1061	4353
98	1071	4339
99	1083	4332
100	1093	4321
101	1104	4308
102	1114	4296
103	1124	4280
104	1134	4269
105	1145	4257
106	1155	4243
107	1165	4230
108	1175	4215
109	1185	4204
110	1198	4200
111	1210	4192
112	1222	4186
113	1236	4187
114	1248	4179
115	1260	4173
116	1276	4180
117	1295	4195
118	1313	4206
119	1329	4209
120	1341	4202
121	1351	4188
122	1362	4177
123	1375	4172
124	1386	4159
125	1396	4145
126	1407	4135
127	1418	4121
128	1429	4109
129	1439	4096
130	1449	4082
131	1459	4070
132	1469	4054
133	1480	4042
134	1492	4034
135	1501	4019
136	1511	4006
137	1523	3996
138	1533	3983
139	1544	3970
140	1553	3956
141	1564	3945
142	1576	3934
143	1585	3920
144	1595	3906
145	1606	3895
146	1615	3880
147	1627	3870
148	1638	3859
149	1649	3848
150	1662	3841
151	1676	3838
152	1689	3831
153	1700	3821
154	1712	3812
155	1726	3806
156	1740	3801
157	1752	3793
158	1764	3784
159	1779	3781
160	1798	3786
161	1815	3788
162	1832	3788
163	1848	3786
164	1862	3782
165	1879	3781
166	1895	3780
167	1909	3774
168	1922	3765
169	1937	3761
170	1955	3761
171	1967	3752
172	1979	3741
173	1994	3736
174	2008	3730
175	2022	3723
176	2036	3716
177	2048	3705
178	2060	3695
179	2075	3690
180	2092	3687
