,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,trackName,artistName,genre,type,id,uri,track_href,analysis_url,sentiment_polarity,weighted_score
2339,206339.0,0.566,0.462,8.0,-11.028,0.0,0.131,0.778,7.39e-05,0.0897,0.234,77.195,206339.0,4.0,Hurt Locker,FINNEAS,alt z,audio_features,4KNZQ8ho9e7O3vNMPusf3T,spotify:track:4KNZQ8ho9e7O3vNMPusf3T,https://api.spotify.com/v1/tracks/4KNZQ8ho9e7O3vNMPusf3T,https://api.spotify.com/v1/audio-analysis/4KNZQ8ho9e7O3vNMPusf3T,0.0,8785044472136219.0
2876,363428.0,0.625,0.54,11.0,-9.059,1.0,0.0271,0.113,0.162,0.107,0.492,165.909,182400.0,4.0,Live Laugh Love,Sasha Alex Sloan,alt z,audio_features,5ebtxZRrC1JQvZ1HCAiLYv,spotify:track:5ebtxZRrC1JQvZ1HCAiLYv,https://api.spotify.com/v1/tracks/5ebtxZRrC1JQvZ1HCAiLYv,https://api.spotify.com/v1/audio-analysis/5ebtxZRrC1JQvZ1HCAiLYv,0.3121212121212121,4.800153796177875e+16
4980,162360.0,0.78,0.672,8.0,-4.398,1.0,0.0328,0.143,7.27e-05,0.125,0.541,97.054,162360.0,4.0,YES MOM,Tessa Violet,alt z,audio_features,3imd2WJDPDoIOyqDmw3plc,spotify:track:3imd2WJDPDoIOyqDmw3plc,https://api.spotify.com/v1/tracks/3imd2WJDPDoIOyqDmw3plc,https://api.spotify.com/v1/audio-analysis/3imd2WJDPDoIOyqDmw3plc,0.0,4279934552256000.0
2253,409909.0,0.808,0.764,7.0,-4.6,1.0,0.0667,0.148,0.0,0.125,0.773,109.95,136802.0,4.0,Hipocrite,Alec Benjamin,alt z,audio_features,5WbdngM5qrXxC54FgSk1eA,spotify:track:5WbdngM5qrXxC54FgSk1eA,https://api.spotify.com/v1/tracks/5WbdngM5qrXxC54FgSk1eA,https://api.spotify.com/v1/audio-analysis/5WbdngM5qrXxC54FgSk1eA,0.0,6.887511888487643e+16
1752,409296.0,0.479,0.231,2.0,-10.278,1.0,0.0481,0.753,0.0,0.37,0.33,112.255,204648.0,1.0,Everybody Loves You,Charlotte Lawrence,alt z,audio_features,6NjP6CP3ILp0SrczlWcMvv,spotify:track:6NjP6CP3ILp0SrczlWcMvv,https://api.spotify.com/v1/tracks/6NjP6CP3ILp0SrczlWcMvv,https://api.spotify.com/v1/audio-analysis/6NjP6CP3ILp0SrczlWcMvv,0.0,6.856658205876634e+16
2303,2545215.0,0.622,0.557,0.0,-9.184,1.0,0.0355,0.272,0.0,0.098,0.532,156.983,199372.0,4.0,Hoops,Julia Wolf,alt z,audio_features,0aHYvskrJfgSgfRmxWjCbZ,spotify:track:0aHYvskrJfgSgfRmxWjCbZ,https://api.spotify.com/v1/tracks/0aHYvskrJfgSgfRmxWjCbZ,https://api.spotify.com/v1/audio-analysis/0aHYvskrJfgSgfRmxWjCbZ,0.0,1.6488206659062813e+19
4235,2111398.0,0.348,0.353,10.0,-9.012,1.0,0.0334,0.845,0.0,0.181,0.866,80.558,173487.0,3.0,Steve,Alec Benjamin,alt z,audio_features,211LaT5hzPOKolVtgzwWnq,spotify:track:211LaT5hzPOKolVtgzwWnq,https://api.spotify.com/v1/tracks/211LaT5hzPOKolVtgzwWnq,https://api.spotify.com/v1/audio-analysis/211LaT5hzPOKolVtgzwWnq,0.0,9.412615481509577e+18
844,4435273.0,0.589,0.364,1.0,-8.079,0.0,0.0419,0.595,0.0,0.334,0.21,104.991,187629.0,4.0,slower,Tate McRae,alt z,audio_features,1bd4heB3yXc5iFTPoOMPuo,spotify:track:1bd4heB3yXc5iFTPoOMPuo,https://api.spotify.com/v1/tracks/1bd4heB3yXc5iFTPoOMPuo,https://api.spotify.com/v1/audio-analysis/1bd4heB3yXc5iFTPoOMPuo,0.0,8.72491229619037e+19
775,481518.0,0.705,0.281,2.0,-7.991,1.0,0.0863,0.856,0.0,0.117,0.211,84.882,160507.0,4.0,minor,Gracie Abrams,alt z,audio_features,1G9YZPtxUGfl1yVw7kq4yc,spotify:track:1G9YZPtxUGfl1yVw7kq4yc,https://api.spotify.com/v1/tracks/1G9YZPtxUGfl1yVw7kq4yc,https://api.spotify.com/v1/audio-analysis/1G9YZPtxUGfl1yVw7kq4yc,-0.05,1.1164456332452384e+17
1526,1360064.0,0.602,0.694,2.0,-5.982,0.0,0.406,0.473,0.0,0.184,0.43,101.953,186360.0,4.0,Devil You Don't,CXLOE,alt z,audio_features,5NkAWXpJOE0mDtHlK8LlWZ,spotify:track:5NkAWXpJOE0mDtHlK8LlWZ,https://api.spotify.com/v1/tracks/5NkAWXpJOE0mDtHlK8LlWZ,https://api.spotify.com/v1/audio-analysis/5NkAWXpJOE0mDtHlK8LlWZ,0.0,2.515811139911942e+18
3630,6645669.0,0.514,0.703,8.0,-6.859,1.0,0.0298,0.0107,7.62e-05,0.13,0.356,157.399,230526.0,4.0,Playground (from the series Arcane League of Legends),Bea Miller,alt z,audio_features,5f2zZawBtGBEw24ABweErz,spotify:track:5f2zZawBtGBEw24ABweErz,https://api.spotify.com/v1/tracks/5f2zZawBtGBEw24ABweErz,https://api.spotify.com/v1/audio-analysis/5f2zZawBtGBEw24ABweErz,0.0,2.9350541618960296e+20
4873,1186434.0,0.538,0.318,7.0,-13.036,0.0,0.0417,0.88,7.28e-05,0.116,0.0897,144.988,181210.0,4.0,What They'll Say About Us,FINNEAS,alt z,audio_features,4W1gUkq2TAOOFCBet3i3WR,spotify:track:4W1gUkq2TAOOFCBet3i3WR,https://api.spotify.com/v1/tracks/4W1gUkq2TAOOFCBet3i3WR,https://api.spotify.com/v1/audio-analysis/4W1gUkq2TAOOFCBet3i3WR,0.0,1.6700549142443945e+18
2567,877068.0,0.604,0.277,2.0,-8.249,1.0,0.0286,0.915,1.82e-05,0.113,0.22,82.922,219268.0,4.0,I’ll Still Have Me,Cyn,alt z,audio_features,71HEg3bYLyMAxHuJ3a6KIM,spotify:track:71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/tracks/71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/audio-analysis/71HEg3bYLyMAxHuJ3a6KIM,0.0,6.746830474820585e+17
303,69619.0,0.529,0.174,9.0,-13.751,1.0,0.0373,0.845,0.0,0.0567,0.311,136.112,206187.0,4.0,As It Was - Spotify Singles,Sasha Alex Sloan,alt z,audio_features,7JBWagcdXEX1dDZTCKUo7R,spotify:track:7JBWagcdXEX1dDZTCKUo7R,https://api.spotify.com/v1/tracks/7JBWagcdXEX1dDZTCKUo7R,https://api.spotify.com/v1/audio-analysis/7JBWagcdXEX1dDZTCKUo7R,0.0,337429728503659.25
3358,192224.0,0.749,0.419,5.0,-9.41,1.0,0.0719,0.528,7.85e-06,0.113,0.279,120.166,192200.0,4.0,Normal,Sasha Alex Sloan,alt z,audio_features,64sp7I8wf70B7OLOpih6XJ,spotify:track:64sp7I8wf70B7OLOpih6XJ,https://api.spotify.com/v1/tracks/64sp7I8wf70B7OLOpih6XJ,https://api.spotify.com/v1/audio-analysis/64sp7I8wf70B7OLOpih6XJ,0.15,7102689520615424.0
923,229124.0,0.358,0.435,2.0,-9.198,1.0,0.0717,0.173,0.00106,0.0986,0.336,155.908,229205.0,4.0,you were good to me - shallou remix,Jeremy Zucker,alt z,audio_features,4yQluMXsIRql36ErBHux2f,spotify:track:4yQluMXsIRql36ErBHux2f,https://api.spotify.com/v1/tracks/4yQluMXsIRql36ErBHux2f,https://api.spotify.com/v1/audio-analysis/4yQluMXsIRql36ErBHux2f,0.7,1.2028507617218624e+16
3339,1604077.0,0.626,0.635,7.0,-7.845,0.0,0.163,0.0346,0.0,0.0953,0.581,149.824,193376.0,4.0,No More Friends (with Oli Sykes of Bring Me The Horizon),Olivia O'Brien,alt z,audio_features,5jbk17nRpXXvzGXPXjm3uW,spotify:track:5jbk17nRpXXvzGXPXjm3uW,https://api.spotify.com/v1/tracks/5jbk17nRpXXvzGXPXjm3uW,https://api.spotify.com/v1/audio-analysis/5jbk17nRpXXvzGXPXjm3uW,-0.25,4.1273912130268047e+18
3889,42767.0,0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551.0,4.0,SNAP,Rosa Linn,alt z,audio_features,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/tracks/76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/audio-analysis/76OGwb5RA9h4FxQPT33ekc,0.0,78221539631663.34
4105,65182.0,0.732,0.85,1.0,-5.999,1.0,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548.0,4.0,Slow Dance (feat. Ava Max),AJ Mitchell,alt z,audio_features,2wenGTypSYHXl1sN1pNC7X,spotify:track:2wenGTypSYHXl1sN1pNC7X,https://api.spotify.com/v1/tracks/2wenGTypSYHXl1sN1pNC7X,https://api.spotify.com/v1/audio-analysis/2wenGTypSYHXl1sN1pNC7X,-0.30000000000000004,276938315208568.38
897,2898255.0,0.769,0.663,1.0,-5.649,0.0,0.0395,0.0943,1.12e-06,0.133,0.46,94.966,152470.0,4.0,wannabe,renforshort,alt z,audio_features,5PXdLJJWQJTOpfHdPkMsOw,spotify:track:5PXdLJJWQJTOpfHdPkMsOw,https://api.spotify.com/v1/tracks/5PXdLJJWQJTOpfHdPkMsOw,https://api.spotify.com/v1/audio-analysis/5PXdLJJWQJTOpfHdPkMsOw,0.0,2.434500013640393e+19
1256,188061.0,0.584,0.261,11.0,-12.317,1.0,0.0486,0.72,1.1e-06,0.126,0.504,180.149,162248.0,4.0,Chasing Parties,Sasha Alex Sloan,alt z,audio_features,4PQJcyOjVSurR2fRZ4MNVE,spotify:track:4PQJcyOjVSurR2fRZ4MNVE,https://api.spotify.com/v1/tracks/4PQJcyOjVSurR2fRZ4MNVE,https://api.spotify.com/v1/audio-analysis/4PQJcyOjVSurR2fRZ4MNVE,0.0,6651142050870981.0
449,7135830.0,0.44,0.441,6.0,-8.398,1.0,0.0748,0.792,0.0,0.105,0.343,122.666,205048.0,4.0,Bedroom Ceiling - Ouse Remix,Sody,alt z,audio_features,3LjQDbEz8gmZSmJe36tUmh,spotify:track:3LjQDbEz8gmZSmJe36tUmh,https://api.spotify.com/v1/tracks/3LjQDbEz8gmZSmJe36tUmh,https://api.spotify.com/v1/audio-analysis/3LjQDbEz8gmZSmJe36tUmh,0.0,3.633569616017263e+20
3770,3634283.0,0.679,0.61,7.0,-10.936,0.0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,227186.0,4.0,Remember That Night?,Sara Kays,alt z,audio_features,1nYzjrdVQ8RpF93M0jPFW7,spotify:track:1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/tracks/1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/audio-analysis/1nYzjrdVQ8RpF93M0jPFW7,0.0,4.800165683379694e+19
2556,6766275.0,0.598,0.444,2.0,-8.683,0.0,0.0327,0.68,1.94e-05,0.142,0.286,113.919,183090.0,4.0,"It's Raining, It's Pouring",Anson Seabra,alt z,audio_features,6bWp6koT8nuANBLyyh20gB,spotify:track:6bWp6koT8nuANBLyyh20gB,https://api.spotify.com/v1/tracks/6bWp6koT8nuANBLyyh20gB,https://api.spotify.com/v1/audio-analysis/6bWp6koT8nuANBLyyh20gB,0.0,3.097768321047571e+20
